text,expected_otp
"113244 is SECRET otp for txns on EMI card ending 0534 .,BFL",113244
Your OTP is 937683. Do not share it with anyone.,937683
Your OTP is 214426. Do not share it with anyone.,214426
Use 26420 as your OTP to login. Rapido!.,26420
Authentication code: 91196. Keep it safe.,91196
Please enter 848954 to complete your authentication.,848954
Enter 456148 OTP to verify your account,456148
779204 is your verification number for access.,779204
Please enter 237450 to complete your authentication.,237450
Your one-time password (OTP) is 712824. Valid for 10 minutes.,712824
"Hi, your verification PIN is 515958.",515958
Enter 716507 OTP to verify your account,716507
Please enter 521277 to complete your authentication.,521277
Please enter 873837 to complete your authentication.,873837
"Hi, your verification PIN is 599076.",599076
Enter 631707 OTP to verify your account,631707
Your OTP is 992143. Do not share it with anyone.,992143
Your OTP is 347994. Do not share it with anyone.,347994
Your OTP is 242773. Do not share it with anyone.,242773
"Hi, your verification PIN is 124655.",124655
Use 313713 as your OTP to login. Rapido!.,313713
Enter 134370 OTP to verify your account,134370
Your one-time password (OTP) is 206225. Valid for 10 minutes.,206225
Use 597799 as your OTP to login. Rapido!.,597799
656853 is the code to authorize your transaction.,656853
850355 is your verification number for access.,850355
378027 is the code to authorize your transaction.,378027
Use 841534 as your OTP to login. Rapido!.,841534
Enter 596900 OTP to verify your account,596900
Your OTP is 907299. Do not share it with anyone.,907299
Use 546073 as your OTP to login. Rapido!.,546073
Use 634120 as your OTP to login. Rapido!.,634120
1037 is your verification number for access.,1037
Use 121280 as your OTP to login. Rapido!.,121280
Please enter 654959 to complete your authentication.,654959
"Hi, your verification PIN is 845750.",845750
Your OTP is 755075. Do not share it with anyone.,755075
"Hi, your verification PIN is 109639.",109639
Your one-time password (OTP) is 316508. Valid for 10 minutes.,316508
Please enter 144028 to complete your authentication.,144028
"Hi, your verification PIN is 590351.",590351
542342 is your verification number for access.,542342
Please enter 736652 to complete your authentication.,736652
Your OTP is 776278. Do not share it with anyone.,776278
Enter 708173 OTP to verify your account,708173
Authentication code: 128341. Keep it safe.,128341
939530 is your verification number for access.,939530
93724 is your verification number for access.,93724
Enter 947392 OTP to verify your account,947392
66814 is your verification number for access.,66814
358261 is your verification number for access.,358261
Use 907484 as your OTP to login. Rapido!.,907484
461197 is the code to authorize your transaction.,461197
895877 is your verification number for access.,895877
623859 - confirmation code for secure access.,623859
"Hi, your verification PIN is 733667.",733667
969413 is your verification number for access.,969413
Your OTP is 636996. Do not share it with anyone.,636996
463976 - confirmation code for secure access.,463976
Use 40235 as your OTP to login. Rapido!.,40235
Use 263651 as your OTP to login. Rapido!.,263651
Authentication code: 669357. Keep it safe.,669357
Authentication code: 65934. Keep it safe.,65934
793528 is the code to authorize your transaction.,793528
764534 is the code to authorize your transaction.,764534
111553 is your verification number for access.,111553
Please enter 810231 to complete your authentication.,810231
Please enter 340381 to complete your authentication.,340381
"Hi, your verification PIN is 524694.",524694
Use 698576 as your OTP to login. Rapido!.,698576
Use 968181 as your OTP to login. Rapido!.,968181
28705 is the code to authorize your transaction.,28705
Enter 957886 OTP to verify your account,957886
Your OTP is 484691. Do not share it with anyone.,484691
Your one-time password (OTP) is 595822. Valid for 10 minutes.,595822
Your OTP is 48371. Do not share it with anyone.,48371
Use 496523 as your OTP to login. Rapido!.,496523
Please enter 916636 to complete your authentication.,916636
"Hi, your verification PIN is 2055.",2055
Use 337759 as your OTP to login. Rapido!.,337759
Use 243959 as your OTP to login. Rapido!.,243959
Enter 944462 OTP to verify your account,944462
31955 is your verification number for access.,31955
Authentication code: 374801. Keep it safe.,374801
526179 - confirmation code for secure access.,526179
Use 917431 as your OTP to login. Rapido!.,917431
Enter 410599 OTP to verify your account,410599
Please enter 584499 to complete your authentication.,584499
396972 is your verification number for access.,396972
Authentication code: 366004. Keep it safe.,366004
Authentication code: 618456. Keep it safe.,618456
732663 - confirmation code for secure access.,732663
272818 is your verification number for access.,272818
Enter 814063 OTP to verify your account,814063
Enter 605020 OTP to verify your account,605020
636271 is your verification number for access.,636271
"Hi, your verification PIN is 395812.",395812
"Hi, your verification PIN is 72523.",72523
969335 is the code to authorize your transaction.,969335
Your one-time password (OTP) is 292860. Valid for 10 minutes.,292860
750923 is your verification number for access.,750923
"Hi, your verification PIN is 356772.",356772
Authentication code: 369959. Keep it safe.,369959
688781 is your verification number for access.,688781
648469 is the code to authorize your transaction.,648469
Your OTP is 71852. Do not share it with anyone.,71852
725139 - confirmation code for secure access.,725139
"Hi, your verification PIN is 593910.",593910
Your one-time password (OTP) is 103130. Valid for 10 minutes.,103130
Your OTP is 869797. Do not share it with anyone.,869797
Use 279479 as your OTP to login. Rapido!.,279479
Your OTP is 459669. Do not share it with anyone.,459669
Your OTP is 161483. Do not share it with anyone.,161483
Authentication code: 670396. Keep it safe.,670396
Your OTP is 658916. Do not share it with anyone.,658916
981393 is your verification number for access.,981393
Use 289321 as your OTP to login. Rapido!.,289321
Your OTP is 692281. Do not share it with anyone.,692281
Your one-time password (OTP) is 808814. Valid for 10 minutes.,808814
762593 is the code to authorize your transaction.,762593
Authentication code: 660443. Keep it safe.,660443
Please enter 562425 to complete your authentication.,562425
Please enter 685219 to complete your authentication.,685219
Please enter 196617 to complete your authentication.,196617
476745 - confirmation code for secure access.,476745
27518 is your verification number for access.,27518
600569 is the code to authorize your transaction.,600569
Use 966313 as your OTP to login. Rapido!.,966313
Enter 649124 OTP to verify your account,649124
Please enter 312345 to complete your authentication.,312345
647460 is your verification number for access.,647460
Enter 972954 OTP to verify your account,972954
Please enter 453432 to complete your authentication.,453432
Please enter 459648 to complete your authentication.,459648
Authentication code: 841257. Keep it safe.,841257
Your one-time password (OTP) is 646092. Valid for 10 minutes.,646092
450946 is your verification number for access.,450946
Use 972592 as your OTP to login. Rapido!.,972592
Your one-time password (OTP) is 778725. Valid for 10 minutes.,778725
Enter 167082 OTP to verify your account,167082
Your OTP is 574028. Do not share it with anyone.,574028
Authentication code: 644830. Keep it safe.,644830
"Hi, your verification PIN is 364629.",364629
Enter 31990 OTP to verify your account,31990
